CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"474,204,208,814",GLENVIEW PD,Glenview,"578,701,558,831",4,402(c),5101110,24,Female,White,Retail Theft,Lauren Gottainer Edidin,District 2 - Skokie,Skokie Courthouse,0
"474,204,208,814",GLENVIEW PD,Glenview,"578,701,476,949",3,16A-3(a),15601,24,Female,White,Retail Theft,Lauren Gottainer Edidin,District 2 - Skokie,Skokie Courthouse,0
"474,205,123,961",EVERGREEN PARK PD,Evergreen Park,"577,045,170,104",3,16A-3(a),15601,50,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,206,649,207",EVERGREEN PARK PD,Evergreen Park,"578,155,242,869",4,16A-3(a),15600,50,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"474,206,649,207",EVERGREEN PARK PD,Evergreen Park,"577,045,251,986",3,16A-3(a),15601,50,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,213,665,338",WESTERN SPRINGS PD,Western Springs,"577,053,194,529",3,17-3(a)(4),11716,31,Male,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"474,213,665,338",WESTERN SPRINGS PD,Western Springs,"578,337,266,308",3,17-3(a)(2),1080100,31,Male,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"474,213,665,338",WESTERN SPRINGS PD,Western Springs,"578,145,908,334",4,16A-3(a),15600,31,Male,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"474,215,617,653",CHICAGO PD,Chicago,"577,307,437,793",4,16A-3(a),15600,31,Male,Black,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"474,225,623,267",EVERGREEN PARK PD,Evergreen Park,"578,111,272,295",4,16A-3(a),15600,41,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"474,225,623,267",EVERGREEN PARK PD,Evergreen Park,"577,058,189,324",3,16A-3(a),15601,41,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,241,058,755",CALUMET CITY PD,Calumet City,"577,062,037,773",3,16A-3(a),15601,30,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"474,290,842,783",CHICAGO PD,Chicago,"577,158,822,165",3,16A-3(a),15601,48,Male,Black,Retail Theft,Rosemary Grant Higgins,District 1 - Chicago,26TH Street,1
"474,317,565,092",CHICAGO PD,Chicago,"577,198,043,590",4,16A-3(a),15600,52,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"474,341,847,007",EVERGREEN PARK PD,Evergreen Park,"577,236,855,605",4,16A-3(a),15600,27,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,384,065,815",LANSING PD,Lansing,"577,290,733,888",4,16A-3(a),15600,31,Male,White,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"474,420,915,756",CHICAGO PD,Chicago,"577,340,026,785",4,16A-3(a),15600,66,Male,Black,Retail Theft,Joseph Michael Claps,District 1 - Chicago,26TH Street,0
"474,439,523,757",CHICAGO PD,Chicago,"577,355,666,226",4,16A-3(a),15600,52,Male,Black,Retail Theft,Matthew E Coghlan,District 1 - Chicago,26TH Street,0
"474,447,943,114",CHICAGO PD,Chicago,"577,358,450,210",4,16A-3(a),15600,47,Male,Black,Retail Theft,Kevin M Sheehan,District 1 - Chicago,26TH Street,0
"474,453,189,960",CALUMET CITY PD,Calumet City,"577,363,526,887",3,16A-3(a),15601,62,Male,Black,Retail Theft,Luciano  Panici,District 6 - Markham,Markham Courthouse,0
"474,453,250,970",CALUMET CITY PD,Calumet City,"577,363,526,887",3,16A-3(a),15601,55,Male,Black,Retail Theft,Luciano  Panici,District 6 - Markham,Markham Courthouse,0
"474,491,016,060",CHICAGO PD,Chicago,"577,433,699,666",3,16A-3(a),15601,50,Male,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
"474,539,396,861",CHICAGO PD,Chicago,"577,518,038,011",3,16A-3(a),15601,54,Male,Black,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"474,542,630,382",BEDFORD PARK PD,Bedford Park,"577,518,774,948",4,16A-3(a),15600,43,Female,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,588,326,750",SKOKIE PD,Skokie,"577,595,580,160",3,16A-3(a),15601,20,Female,Black,Retail Theft,Lauren Gottainer Edidin,District 2 - Skokie,Skokie Courthouse,0
"474,591,255,223",CHICAGO PD,Chicago,"577,596,071,451",4,16A-3(a),15600,39,Male,Black,Retail Theft,Dennis J Porter,District 1 - Chicago,26TH Street,0
"474,616,452,286",CHICAGO PD,Chicago,"577,627,350,333",4,16A-3(a),15600,42,Male,Black,Retail Theft,Nicholas R Ford,District 1 - Chicago,26TH Street,0
"474,676,913,035",CHICAGO RIDGE PD,Chicago Ridge,"577,732,732,324",4,16-25(a)(1),16720,41,Female,White,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,677,828,182",BELLWOOD PD,Bellwood,"577,732,814,205",4,16A-3(a),15600,38,Male,Black,Retail Theft,Geary W Kull,District 4 - Maywood,Maywood Courthouse,0
"474,684,600,274",CHICAGO PD,Chicago,"577,999,503,517",3,16A-3(a),15601,27,Male,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
"474,698,876,576",CHICAGO PD,Chicago,"577,738,464,056",4,16A-3(a),15600,50,Male,Black,Retail Theft,Thomas M Davy,District 5 - Bridgeview,Bridgeview Courthouse,0
"474,700,401,822",CHICAGO PD,Chicago,"577,739,119,111",4,16A-3(a),15600,52,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"474,713,823,986",CHICAGO PD,Chicago,"577,742,967,560",4,16A-3(a),15600,61,Male,Black,Retail Theft,Arthur F Hill,District 1 - Chicago,26TH Street,0
"474,736,641,665",CHICAGO PD,Chicago,"577,751,237,630",3,16A-3(a),15601,36,Male,White,Retail Theft,Mary Margaret Brosnahan,District 1 - Chicago,26TH Street,0
"474,773,064,538",CHICAGO PD,Chicago,"577,805,525,323",3,16A-3(a),15601,41,Female,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"474,805,399,752",CHICAGO PD,Chicago,"577,874,224,227",4,16A-3(a),15600,51,Female,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"474,821,994,428",CALUMET PARK PD,Calumet Park,"577,895,267,873",4,16-25(a)(1),16720,58,Male,Black,Retail Theft,Darron Edward Bowden,District 6 - Markham,Markham Courthouse,0
"474,865,433,432",CHICAGO PD,Chicago,"577,959,954,565",4,16A-3(a),15600,44,Male,Black,Retail Theft,Clayton Jay Crane,District 1 - Chicago,26TH Street,0
"474,869,887,151",MELROSE PARK PD,Melrose Park,"577,960,937,147",4,16A-3(a),15600,50,Male,Black,Retail Theft,Thomas M Tucker,District 4 - Maywood,Maywood Courthouse,0
"474,906,188,004",EVANSTON PD,Evanston,"578,001,959,974",4,16A-3(a),15600,57,Female,White,Retail Theft,Larry G Axelrood,District 2 - Skokie,Skokie Courthouse,0
"474,919,244,109",SCHAUMBURG PD,Schaumburg,"578,017,763,178",3,16-25(a)(1),16722,20,Female,White,Retail Theft,ELLEN  MANDELTORT,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"474,924,551,965",OAK PARK PD,Oak Park,"578,018,500,115",3,16A-3(a),15601,21,Female,Black,Retail Theft,William H Wise,District 4 - Maywood,Maywood Courthouse,0
"474,925,223,073",WILMETTE PD,Wilmette,"578,018,909,525",3,16A-3(a),15601,36,Male,White,Retail Theft,Timothy J Chambers,District 2 - Skokie,Skokie Courthouse,0
"474,931,324,057",CHICAGO PD,Chicago,"578,020,383,399",4,16A-3(a),15600,30,Male,White,Retail Theft,Joseph G Kazmierski,District 1 - Chicago,26TH Street,0
"474,935,472,726",NORTH RIVERSIDE PD,North Riverside,"578,021,284,099",4,16A-3(a),15600,47,Male,Black,Retail Theft,Carmen  Aguilar,District 4 - Maywood,Maywood Courthouse,0
"474,949,382,969",CHICAGO PD,Chicago,"578,443,630,882",4,16A-3(a),15600,54,Female,Black,Retail Theft,William G Lacy,District 1 - Chicago,26TH Street,0
"474,974,335,992",CHICAGO PD,Chicago,"578,090,883,705",3,16A-3(a),15601,56,Female,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
"474,982,206,261",CHICAGO PD,Chicago,"578,103,657,280",4,16A-3(a),15600,40,Male,Black,Retail Theft,Charles P Burns,District 1 - Chicago,26TH Street,0
