CASE_PARTICIPANT_ID,LAW_ENFORCEMENT_AGENCY,INCIDENT_CITY,CHARGE_ID,CLASS.INITIATIONS,SECTION,AOIC,AGE_AT_INCIDENT,GENDER,RACE,UPDATED_OFFENSE_CATEGORY,JUDGE,COURT_NAME,COURT_FACILITY,CHARGE_REDUCTION
"486,233,884,532",ORLAND PARK PD,Orland Park,"596,873,360,755",4,16-25(a)(1),16720,35,Male,White,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,1
"486,236,324,926",STREAMWOOD PD,Streamwood,"594,748,853,270",3,16-25(a)(1),16722,23,Male,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"486,236,813,005",CHICAGO PD,Chicago,"594,749,017,034",4,16-25(a)(1),16720,46,Male,Black,Retail Theft,James Michael Obbish,District 1 - Chicago,26TH Street,0
"486,259,691,694",CHICAGO PD,Chicago,"594,766,048,466",4,16-25(a)(1),16720,46,Male,Black,Retail Theft,James B Linn,District 1 - Chicago,26TH Street,0
"486,284,522,698",CHICAGO PD,Chicago,"594,846,210,835",4,16-25(a)(1),16720,41,Male,Black,Retail Theft,William H Hooks,District 1 - Chicago,26TH Street,0
"486,292,453,976",NORTHBROOK PD,Northbrook,"595,747,402,903",4,16-25(a)(1),16720,18,Female,Black,Retail Theft,Garritt E Howard,District 2 - Skokie,Skokie Courthouse,0
"486,329,547,958",NORRIDGE PD,Norridge,"594,898,451,481",3,16-25(a)(1),16722,27,Female,White,Retail Theft,Jill  Cerone-Marisie,District 3 - Rolling Meadows,Rolling Meadows Courthouse,0
"486,340,041,650",NILES PD,Niles,"597,957,640,726",4,16-25(a)(1),16720,30,Male,Black,Retail Theft,Timothy J Chambers,District 2 - Skokie,Skokie Courthouse,0
"486,382,199,447",HOMEWOOD PD,Homewood,"595,035,276,117",3,16-25(a)(1),16722,47,Male,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"486,391,900,012",CHICAGO PD,Chicago,"595,395,883,955",3,16-25(a)(1),16722,45,Male,Black,Retail Theft,Diane Gordon Cannon,District 1 - Chicago,26TH Street,0
"486,425,943,501",ORLAND PARK PD,Orland Park,"595,109,051,698",3,16-25(a)(6),16753,42,Male,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,433,447,711",CHICAGO PD,Chicago,"595,449,107,182",4,16-25(a)(1),16720,44,Male,Black,Retail Theft,Nicholas R Ford,District 1 - Chicago,26TH Street,0
"486,442,355,147",FOREST PARK PD,Forest Park,"595,128,457,706",3,16-25(a)(1),16722,50,Male,Black,Retail Theft,Geary W Kull,District 4 - Maywood,Maywood Courthouse,0
"486,443,880,393",CHICAGO PD,Chicago,"595,130,750,399",3,16-25(a)(1),16722,23,Female,White,Retail Theft,Sharon M Sullivan,District 2 - Skokie,Skokie Courthouse,0
"486,457,668,616",CHICAGO PD,Chicago,"595,135,335,785",3,16-25(a)(1),16722,44,Male,Black,Retail Theft,Catherine Marie Haberkorn,District 2 - Skokie,Skokie Courthouse,0
"486,460,902,138",GLENVIEW PD,Glenview,"595,136,236,485",3,16-25(a)(1),16722,65,Female,White,Retail Theft,Marcia B Orr,District 2 - Skokie,Skokie Courthouse,0
"486,462,122,335",CHICAGO PD,Chicago,"595,137,055,304",3,16-25(a)(1),16722,27,Female,White,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"486,475,788,538",BEDFORD PARK PD,Bedford Park,"595,143,442,092",3,16-25(a)(1),16722,47,Female,Black,Retail Theft,Colleen Ann Hyland,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,477,069,745",BURBANK PD,Burbank,"596,873,115,110",4,16-25(a)(1),16720,43,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"486,477,069,745",BURBANK PD,Burbank,"596,872,951,346",3,16-25(a)(1),16722,43,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,477,130,755",BURBANK PD,Burbank,"596,873,033,228",3,16-25(a)(1),16722,36,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,1
"486,477,130,755",BURBANK PD,Burbank,"596,872,951,346",3,16-25(a)(1),16722,36,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,514,773,824",CHICAGO PD,Chicago,"595,174,147,800",3,16-25(a)(1),16722,66,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,1
"486,521,179,857",CHICAGO PD,Chicago,"595,207,965,020",4,16-25(a)(1),16720,47,Male,Black,Retail Theft,William T O'Brien,District 2 - Skokie,Skokie Courthouse,0
"486,541,435,123",CHICAGO PD,Chicago,"595,249,561,019",4,16-25(a)(1),16720,47,Male,Black,Retail Theft,Vincent M Gaughan,District 1 - Chicago,26TH Street,0
"486,593,110,456",CHICAGO PD,Chicago,"595,345,280,947",3,16-25(a)(1),16722,23,Male,Black,Retail Theft,Stanley  Sacks,District 1 - Chicago,26TH Street,0
"486,595,367,820",RIVER FOREST PD,River Forest,"595,349,866,333",4,16-25(a)(1),16720,31,Female,White,Retail Theft,Noreen Valeria Love,District 4 - Maywood,Maywood Courthouse,0
"486,595,855,898",OAK PARK PD,Oak Park,"595,350,439,506",3,16-25(a)(6),16753,43,Male,Black,Retail Theft,Paula M Daleo,District 4 - Maywood,Maywood Courthouse,0
"486,599,089,420",ORLAND PARK PD,Orland Park,"595,351,995,262",3,16-25(a)(1),16722,30,Male,Black,Retail Theft,John Joseph Hynes,District 5 - Bridgeview,Bridgeview Courthouse,0
"486,626,970,915",CHICAGO PD,Chicago,"595,374,512,782",4,16-25(a)(1),16720,47,Male,Black,Retail Theft,Shelley  Sutker-Dermer,District 2 - Skokie,Skokie Courthouse,0
"486,652,228,988",CHICAGO PD,Chicago,"595,415,208,080",4,16-25(a)(1),16720,47,Female,Black,Retail Theft,Nicholas R Ford,District 1 - Chicago,26TH Street,0
"486,652,412,018",NORTH RIVERSIDE PD,North Riverside,"595,415,371,844",4,16-25(a)(6),16750,49,Male,White,Retail Theft,Carol A Kipperman,District 4 - Maywood,Maywood Courthouse,0
"486,695,606,983",HOMEWOOD PD,Homewood,"597,987,118,206",4,11-204.1(a)(1),11405,20,Female,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,0
"486,695,606,983",HOMEWOOD PD,Homewood,"595,483,743,221",4,11-204.1(a)(4),13454,20,Female,Black,Retail Theft,Brian K Flaherty,District 6 - Markham,Markham Courthouse,1
